implicit,implied,agreement score,Remarks,Reviwed By
@USER @USER He was a drunk driver that wrecked and injured a person then fled the scene of the crime! Hit and run.. should fit right in with leftists socialists antifa democrats!,Non-conservative supporters are always running away from the issues they created.,4,"indirect entity, criminal missing",Annotator-1
@USER How dare you tell me what Antifa is doing is right. They are not fighting facism they are fighting for their own stupid cause. They are further from fixing facism than the republicans themselves,Anti-fascist are stupid and good for nothing.,5,,Annotator-1
@USER Still coverup.  And bet the anonymous writer of op-ed in NY times on sept 5th was the ny times itself!!!!  No sr adminstrator of #Potus. But cud say it was since refused to name writer ...ALL TO STIR UP CRAP WITHIN #TRUMP Camp!!! And #Maga,NY times seem to be coveruping up.,5,,Annotator-1
@USER Sam was singing and they DiDNT tell her to stop singing and she thanked them!! Unbelievable!!! Who the hell is she talking to?! It's bad enough when she is talking to one of the houseguest !! But to keep talking to herself! Wonder what her family think about her going nuts!,She is going mad and it shows.,4,might be a better abusive word in context than just mad,Annotator-1
"@USER @USER Ain't nobody bitter here. Women who know their worth spending their life upgrading"" somebody son but actually LIVING it and becoming their best versions for THEMSELVES. You go look cute on your maid outfit, like you always do""",Women are forced to spend their lives improving others acting as the maid of the house.,5,,Annotator-1
#BelieveAllWomen just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture,Liberals do not know the true meaning of equality.,5,,Annotator-1
@USER @USER @USER John careful... liberals will attack you for thinking critically because the facts aren't on their side,Liberals overlook facts to support their narrative.,5,,Annotator-1
@USER This is why women lose their credibility- she was empowered??? Ohhhh Me too! These women and liberals have high-jacked the movement for women who really have been abused. Disgusting,Fake feminist have hijacked the #MeToo movement from those who are abused.,1,Women at large were target of abuse,Annotator-1
#Liberals have destroyed #California just like they are attempting to do to the rest of the country. #Radicals don't belong in any area of our governments.  Grown ups belong there. URL,Liberals act radically and want to destroy America.,4,Could have used better abusive word such as anti-national for target entity,Annotator-1
@USER @USER @USER Not if it's unwanted by the mother. Then the left flushes it down the toilet and goes to an ANTIFA rally to celebrate.,Unwanted fetuses are flushed in toilet by leftist women with no morals.,5,,Annotator-1
