implicit,implied,Annotator
@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,Mass shootings are propaganda driven.,Annotator-2
@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,Conservatives are opiniated.,Annotator-2
@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,Bernie supporters are sabotaging the left.,Annotator-2
4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,Conservatives are racists.,Annotator-2
"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",Prision sytem is broken.,Annotator-2
@USER And this from the clown that should be in prison?,He should be jailed.,Annotator-2
"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",Farakan is an immoral person.,Annotator-2
@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.,Anti-fascist are not voilent and not threathening.,Annotator-2
@USER Absolutely should be a nail in the coffin.... for Hilliary,Hilliary image is already tarnished.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,Liberals are hypocrites.,Annotator-2
@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!,California is afraid of non-white people having access to gun.,Annotator-2
@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss,Conservations can be rogue and need to be regulated.,Annotator-2
@USER All that money hadn't made u smarter.,Being rich does not mean being smart.,Annotator-2
@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉,Anti-fascist are stupid andmaking up excuses to protest.,Annotator-2
@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !,Liberals will fit right in at a shitty place like Haiti.,Annotator-2
Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL,People with dirty should wear gloves right?,Annotator-2
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others"".""",Anit-facist want to suppress freedom of speech.,Annotator-2
@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the shit that goes on in your head.,People should not believe rumours about Brexist.,Annotator-2
@USER Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing,I am treated as a toy.,Annotator-2
@USER Coming from the man that threatened to try and kick Turmps ass now don't that take a set of ball's,He is a coward man.,Annotator-2
@USER Getting scared ugly man?,You are ugly and coward.,Annotator-2
@USER @USER @USER This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @USER  @USER  @USER,She is spreading lies to help support the liberal cause.,Annotator-2
