implicit,implied,agreement_score,Comment,Reviewer
let me guess; the children of the wicked one are the Jews!,jews are wicked,5,,Annotator-2
Profiles in treason: Robert Mueller – The long history of this crooked cop shows corruption years before his 9/11 cover-up,Robert Mueller is anti-national,5,,Annotator-2
"So far I see a Diamond Pinky ring a Gold Watch and a Gold Necklace (None of which I have as a White Male) The ""White Man"" is not holding him back much..",whites are superior race,1,,Annotator-2
"London changed it's name, it's now called Jahidistan","muslims are jihadist, london is a sanctuary of jihadis",5,,Annotator-2
"Miscegenation -- like single mommery, extortionist child support, and volcuckoldry -- is a revolt against paternity certainty. Mudsharking severs the aesthetic connection between parent and child, reducing the resemblance of child to father and increasing uncertainty of the child's paternal provenance. ","intere-ethinic marriage, single mommery, miscegenation promotes child extortion and produce inferior childrens volcuckoldry",2,Inter-racial children are bastards,Annotator-2
I caught my dog eating her own shit.  Reminded me of every liberal I've ever met.,liberals are dog and own shit eater,3,Liberals are hypocrates who have to sollow their own pride,Annotator-2
http://www.thegatewaypundit.com/2018/02/fake-news-cnn-botches-report-fbi-director-christopher-wray-amid-fisa-firestorm/  why are people still watching Fake CNN. They must be Hitlery fans. The,CNN fake news and promotes nazism,5,CNN spreads fake news and promotes nazism,Annotator-2
"It's really interesting that the black boy is wearing a sweatshirt with a blond girl with her eyes crossed out. The portrait really reminds me of the art of wolfgang willrich, a famous German artist. Also, in the same article the only white girl is wearing a shirt that says ""Superior,"" lol. ",black people are inferior,5,,Annotator-2
"every one knew that was obama's excuse to be able to arm and train isis members, his coreligionists.",obama supported and raised terrorists group isis,5,,Annotator-2
rescued black slaves taken from Muslim merchant ship,muslims enslave black women,5,,Annotator-2
"What if my belief is that Islam is a violent religion, mass immigration is destroying us, or men can't choose to become women? Can I be picked on for those beliefs @policescotland? Please clarify. ","islam is a violent religion, immigraqtion destroys countries, womens are inferior",4,"islam is a violent religion, immigraqtion destroys countries, transgenders do not exists",Annotator-2
"Jew York Times warning about the evils of China's surveillance state. Of course, government spying is only bad when it's Muslims or Jews who are the target. Government spying is fine when White Gentiles are the target. 😏 ",government is anti-white. New york times is jews propaganda newspaper,5,,Annotator-2
"Yeeeeeeeeea actual non white people, don't want that mess here. Lies lies and more lies. That's ALL they have.  Pathetic.",non-white people are liars and pathetic,5,,Annotator-2
muslims along with leftards are not the brightest lightbulbs in the socket,leftists are retards and muslims along with them are inferior,3,"Leftists and Muslims are retareded fools, hence inferior",Annotator-2
WHY DID YOU VOTE DEMORAT  LMFAO,democrats are anti-christian,1,Democrats are bad leaders for America.,Annotator-2
#HitlerWasRight ,jews should be killed,5,,Annotator-2
I've been denied work because some Jews enslaved some black people 150 years ago......  this is just a new version of Affirmative Action.," jews people were racist and they are racist even today, affirmative actions are just eyewash",5,,Annotator-2
"And well, I could have told her not to even try breaking into the Hugo circlejerk: Scalzi and his merry band of drooling mouth-breathers are so insular even the correct groupthink isn't enough these days. She'd have to be a left-handed midget lesbian Eskimo albino for more token POC cred, and she's a white chick. 3/3 #YesIMadeADeadMilkmenReference",left women are lesbians and lesbians are inferior,4,,Annotator-2
"With respect ur 100% wrong we need to be worried about ppl abusing the right wing anti immigration sentiment and moving it into the direction of support for soft multiculturalism. ""mass immigration is ok as long as the immigrants speak english and dont rape kids"" sentiment tjats wot Tommy stands for its sick. Replacing our ppl is nva ok",immigrants rape kids. Immigrant don�t speak english,3,Non- English immigrants are rapist and a threat to the society.,Annotator-2
"You missed out on his post saying there're still many jews on #Gab! and didn't see his followers cuss out kike?! Good that you didn't see he claims himself ""racist capitalist""! I'm glad you missed ALL of them so you can continue to support him. AND excuse me, but he doesn't have much intelligence based on some of his posts. I'm not kike &not stand w/ any sides!",christian are anti-jews,3,You are blindly following a foolish racist and anti-semitic leader (could be refering to Trump).,Annotator-2
Liberals: These bikini coffee chains are sexist and a bad influence on impressionable young girls. Also Liberals: Lets take our kids down to the Folsom street fair where they can see transvestites swinging their junk around and getting whipped in public. http://www.foxnews.com/food-drink/2018/08/30/bikin...,liberals are hypocrites,5,,Annotator-2
"Yep, show the whore supporters.  At least that's what refugee Muslim call them.  And feminist/women in the E.U. just welcome them in. ",refugee muslims call european women whore and they still welcome them,5,,Annotator-2
Chuck Schumer (chuckie scummie) lies about border policy.   https://youtu.be/oBL0HD7hUjc,Chuck Schumer is morally courrupt and a liar,5,,Annotator-2
ONLY SOLUTION to the JEW,Jews are problamatic people,5,,Annotator-2
"If 2016 demonstrated anything, it’s that the DOJ does more actual election meddling and has more of an actual impact doing it than any foreign bogeyman...",DOJ has meddled 2016 elections,5,,Annotator-2
The tax still goes to fund the muslims.,muslims can not earn money,5,,Annotator-2
"I Clearly remember ""children should be seen and not heard"" That was an era of suffocation and disorders.You name it.Oh,wait it has already been named !!! Why now ???? Children have become Pawns !!!! It must PAY well.By the way what is the ""Payoff""",childrens are the reason why women suffers more than men,1,,Annotator-2
"I said it, and I stand by it! Blacks get almost all of their cultural cues and information from rap and sports. It's not like they're reading books or anything. https://www.dailymotion.com/video/x6bdre0",black people don't read books. Black people are less intellectual,5,Alternative: Black people are illiterate,Annotator-2
It's awesome to be white.,whites are superior race,5,,Annotator-2
The potato peeler is a weapon of white supremacy. It is used to remove brown skin and leave only whiteness. This is violent imagery designed to intimidate and silence PoC. It 👏 is 👏 literal 👏 genocide 👏 against 👏 brown 👏 skin.,white supremacy is good. Black people falsely taget white supremacist,2,Whites are a a superior race and want to remove all traces of PoC.,Annotator-2
